lot_code,line_code,product_code,planned_start_date
LOT-KULL2-049,KUL-L2,SENS-B200,2026-02-18
LOT-PNGL1-049,PNG-L1,SENS-B200,2026-02-18
LOT-PNGL2-049,PNG-L2,SENS-B200,2026-02-18
LOT-KULL1-052,KUL-L1,GW-C300,2026-02-21
LOT-KULL2-052,KUL-L2,GW-C300,2026-02-21
LOT-PNGL1-052,PNG-L1,GW-C300,2026-02-21
LOT-PNGL2-052,PNG-L2,GW-C300,2026-02-21
LOT-KULL1-055,KUL-L1,CTRL-A100,2026-02-24
LOT-KULL2-055,KUL-L2,CTRL-A100,2026-02-24
LOT-PNGL1-055,PNG-L1,CTRL-A100,2026-02-24
LOT-PNGL2-055,PNG-L2,CTRL-A100,2026-02-24
LOT-KULL1-058,KUL-L1,SENS-B200,2026-02-27
LOT-KULL2-058,KUL-L2,SENS-B200,2026-02-27
LOT-PNGL1-058,PNG-L1,SENS-B200,2026-02-27
LOT-PNGL2-058,PNG-L2,SENS-B200,2026-02-27
LOT-KULL1-061,KUL-L1,GW-C300,2026-03-02
LOT-KULL2-061,KUL-L2,GW-C300,2026-03-02
LOT-PNGL1-061,PNG-L1,GW-C300,2026-03-02
LOT-PNGL2-061,PNG-L2,GW-C300,2026-03-02
LOT-KULL1-064,KUL-L1,CTRL-A100,2026-03-05
LOT-KULL2-064,KUL-L2,CTRL-A100,2026-03-05
LOT-PNGL1-064,PNG-L1,CTRL-A100,2026-03-05
LOT-PNGL2-064,PNG-L2,CTRL-A100,2026-03-05
LOT-KULL1-067,KUL-L1,SENS-B200,2026-03-08
LOT-KULL2-067,KUL-L2,SENS-B200,2026-03-08
LOT-PNGL1-067,PNG-L1,SENS-B200,2026-03-08
LOT-PNGL2-067,PNG-L2,SENS-B200,2026-03-08
LOT-KULL1-070,KUL-L1,GW-C300,2026-03-11
LOT-KULL2-070,KUL-L2,GW-C300,2026-03-11
LOT-PNGL1-070,PNG-L1,GW-C300,2026-03-11
LOT-PNGL2-070,PNG-L2,GW-C300,2026-03-11
LOT-KULL1-073,KUL-L1,CTRL-A100,2026-03-14
LOT-KULL2-073,KUL-L2,CTRL-A100,2026-03-14
LOT-PNGL1-073,PNG-L1,CTRL-A100,2026-03-14
LOT-PNGL2-073,PNG-L2,CTRL-A100,2026-03-14
LOT-KULL1-076,KUL-L1,SENS-B200,2026-03-17
LOT-KULL2-076,KUL-L2,SENS-B200,2026-03-17
LOT-PNGL1-076,PNG-L1,SENS-B200,2026-03-17
LOT-PNGL2-076,PNG-L2,SENS-B200,2026-03-17
LOT-KULL1-079,KUL-L1,GW-C300,2026-03-20
LOT-KULL2-079,KUL-L2,GW-C300,2026-03-20
LOT-PNGL1-079,PNG-L1,GW-C300,2026-03-20
LOT-PNGL2-079,PNG-L2,GW-C300,2026-03-20
LOT-KULL1-082,KUL-L1,CTRL-A100,2026-03-23
LOT-KULL2-082,KUL-L2,CTRL-A100,2026-03-23
LOT-PNGL1-082,PNG-L1,CTRL-A100,2026-03-23
LOT-PNGL2-082,PNG-L2,CTRL-A100,2026-03-23
LOT-KULL1-085,KUL-L1,SENS-B200,2026-03-26
LOT-KULL2-085,KUL-L2,SENS-B200,2026-03-26
LOT-PNGL1-085,PNG-L1,SENS-B200,2026-03-26
LOT-PNGL2-085,PNG-L2,SENS-B200,2026-03-26
LOT-KULL1-088,KUL-L1,GW-C300,2026-03-29
LOT-KULL2-088,KUL-L2,GW-C300,2026-03-29
LOT-PNGL1-088,PNG-L1,GW-C300,2026-03-29
LOT-PNGL2-088,PNG-L2,GW-C300,2026-03-29
